Model,Type,Accuracy,F1,AUC
Logistic Regression,ML,0.8001336898395722,0.0,0.4809794832678128
Random Forest,ML,0.8001336898395722,0.0,0.49335574163949447
XGBoost,ML,0.7840909090909091,0.09014084507042254,0.5142203334423014
LightGBM,ML,0.7974598930481284,0.006557377049180328,0.5041365956697764
Gradient Boosting,ML,0.7994652406417112,0.0,0.5127087506950208
SVM,ML,0.8001336898395722,0.0,0.4759445995143936
KNN,ML,0.766042780748663,0.09326424870466321,0.5144131231087754
Naive Bayes,ML,0.8001336898395722,0.0,0.4993196480610668
